组ID,视频类型,文件名,视频ID,视频链接,哈希值
组11,重复视频,7403645186699431231.mp4,7403645186699431231,https://douyin.com/?modal_id=7403645186699431231,721f197f9f526fea70eacc203c270513dad1cde1edbdfad5dcf3cc8c76932d1a
组11,重复视频,7403333107140611367.mp4,7403333107140611367,https://douyin.com/?modal_id=7403333107140611367,1eada8e035aae67451b62b7e09d60f70a352a1afbff5403984390570199a42a7
组11,重复视频,7401811427213757759.mp4,7401811427213757759,https://douyin.com/?modal_id=7401811427213757759,4059e49b083415c89207919d492cf4f1f3d7efaa5bfa1e42f826835ac4c07b0f
组11,重复视频,7401448070342266124.mp4,7401448070342266124,https://douyin.com/?modal_id=7401448070342266124,b76b8bb3022bb27bbd84f36ab1c155957fee6eb106911bb4da545ac96357c83c
组11,重复视频,7400737076133645587.mp4,7400737076133645587,https://douyin.com/?modal_id=7400737076133645587,314dc0cbb05b8ee9ecf657c607f06d27e9cf9d9edbc17fcdf4d8180d7fa31c8f
组11,重复视频,7400358604957666572.mp4,7400358604957666572,https://douyin.com/?modal_id=7400358604957666572,b951203b150d1537e5856006532820fabaab70f0f966dbbf851474350c3ad7be
组11,重复视频,7399996419764997412.mp4,7399996419764997412,https://douyin.com/?modal_id=7399996419764997412,b29c53796edb5bffc0d8ffe1c72b302bfd8c48f4011115bf88aaeb9255d46b2a
组11,重复视频,7398559420130561291.mp4,7398559420130561291,https://douyin.com/?modal_id=7398559420130561291,4a121711c42f081a18bf2871174d425650dcab6c2c8b063da4fa241e97158b65
组11,重复视频,7398161676698209555.mp4,7398161676698209555,https://douyin.com/?modal_id=7398161676698209555,7bde33cdbde0fe4d299ec02fb28281ae4044f6448fed47a004d5a981e92bbe0d
组11,重复视频,7398114316160961803.mp4,7398114316160961803,https://douyin.com/?modal_id=7398114316160961803,fdfc40935c4896d48f561d77834c931a0156ff694894b60b96b7027053f34f38
组11,重复视频,7397716554932178188.mp4,7397716554932178188,https://douyin.com/?modal_id=7397716554932178188,17ce73fc47923450916b8ffc8cc3eb3391ad0c1d27ed323ac0cd583c0ad84017
组12,原视频,7411820365757861139.mp4,7411820365757861139,https://douyin.com/?modal_id=7411820365757861139,225558e87383a9c03505460df5be2636a359b1eedc866ca0dda718307fdb0d16
组12,重复视频,7411803072474778916.mp4,7411803072474778916,https://douyin.com/?modal_id=7411803072474778916,a28bc5c18554baad65cde9547fc2632e0af5efa8cc5929a2c0e35c2135f0fc4b
